PeakID (cmd=annotatePeaks.pl hc_IDR_summit.bed hc.fna -gid -gtf hc.gtf -cpu 30)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
6428	III	35456555	35456555	+	0	NA	exon (V3C99_002298, exon 2 of 8)	mRNA-exon (V3C99_002298, exon 2 of 8)	-1890	V3C99_002298	V3C99_002298	gnl|V3C99|Hcon5G00000011787						protein_coding
17725	V	43431616	43431616	+	0	NA	promoter-TSS (V3C99_016617)	mRNA-promoter-TSS (V3C99_016617)	38	V3C99_016617	V3C99_016617	gnl|V3C99|Hcon5G00000018775						protein_coding
15855	X	6016988	6016988	+	0	NA	TTS (V3C99_017488)	mRNA-TTS (V3C99_017488)	7099	V3C99_017487	V3C99_017487	gnl|V3C99|Hcon5G00000000411						protein_coding
8307	II	47121158	47121158	+	0	NA	Intergenic	Intergenic	2976	V3C99_013642	V3C99_013642	gnl|V3C99|Hcon5G00000015800						protein_coding
13834	III	6185907	6185907	+	0	NA	intron (V3C99_000408, intron 7 of 9)	mRNA-intron (V3C99_000408, intron 7 of 9)	-12071	V3C99_000409	V3C99_000409	gnl|V3C99|Hcon5G00000009898						protein_coding
11137	I	3567264	3567264	+	0	NA	intron (V3C99_003419, intron 2 of 14)	mRNA-intron (V3C99_003419, intron 2 of 14)	6544	V3C99_003419	V3C99_003419	gnl|V3C99|Hcon5G00000006376						protein_coding
20634	I	21531304	21531304	+	0	NA	intron (V3C99_004699, intron 1 of 12)	mRNA-intron (V3C99_004699, intron 2 of 11)	1460	V3C99_004699	V3C99_004699	gnl|V3C99|Hcon5G00000007656						protein_coding
21179	I	12879917	12879917	+	0	NA	intron (V3C99_004113, intron 1 of 5)	mRNA-intron (V3C99_004113, intron 2 of 6)	666	V3C99_004113	V3C99_004113	gnl|V3C99|Hcon5G00000007070						protein_coding
58	X	1324993	1324993	+	0	NA	intron (V3C99_017140, intron 4 of 10)	mRNA-intron (V3C99_017140, intron 4 of 10)	-5023	V3C99_017141	V3C99_017141	gnl|V3C99|Hcon5G00000000065						protein_coding
17016	I	42621625	42621625	+	0	NA	exon (V3C99_006131, exon 3 of 3)	mRNA-exon (V3C99_006131, exon 3 of 3)	1104	V3C99_006131	V3C99_006131	gnl|V3C99|Hcon5G00000009088						protein_coding
6664	X	28994271	28994271	+	0	NA	intron (V3C99_018878, intron 3 of 20)	mRNA-intron (V3C99_018878, intron 3 of 21)	3721	V3C99_018878	V3C99_018878	gnl|V3C99|Hcon5G00000001802						protein_coding
9222	III	22496308	22496308	+	0	NA	intron (V3C99_001437, intron 9 of 70)	mRNA-intron (V3C99_001437, intron 9 of 70)	6989	V3C99_001437	V3C99_001437	gnl|V3C99|Hcon5G00000010926						protein_coding
15646	V	17519443	17519443	+	0	NA	intron (V3C99_014999, intron 1 of 18)	mRNA-intron (V3C99_014999, intron 1 of 18)	-23419	V3C99_014999	V3C99_014999	gnl|V3C99|Hcon5G00000017157						protein_coding
3746	V	16099173	16099173	+	0	NA	Intergenic	Intergenic	-3460	V3C99_014903	V3C99_014903	gnl|V3C99|Hcon5G00000017061						protein_coding
21870	X	20347550	20347550	+	0	NA	Intergenic	Intergenic	23893	V3C99_018360	V3C99_018360	gnl|V3C99|Hcon5G00000001284						protein_coding
17518	III	40057542	40057542	+	0	NA	Intergenic	Intergenic	9846	V3C99_002662	V3C99_002662	gnl|V3C99|Hcon5G00000012151						protein_coding
14267	IV	30472839	30472839	+	0	NA	intron (V3C99_008535, intron 7 of 13)	mRNA-intron (V3C99_008535, intron 3 of 9)	4204	V3C99_008535	V3C99_008535	gnl|V3C99|Hcon5G00000004161						protein_coding
5121	I	20846978	20846978	+	0	NA	intron (V3C99_004654, intron 6 of 29)	mRNA-intron (V3C99_004654, intron 6 of 29)	-14729	V3C99_004654	V3C99_004654	gnl|V3C99|Hcon5G00000007611						protein_coding
20399	I	26975629	26975629	+	0	NA	intron (V3C99_005022, intron 18 of 39)	mRNA-intron (V3C99_005022, intron 18 of 39)	-11856	V3C99_005023	V3C99_005023	gnl|V3C99|Hcon5G00000007980						protein_coding
18698	IV	31418597	31418597	+	0	NA	exon (V3C99_008594, exon 9 of 21)	mRNA-exon (V3C99_008594, exon 9 of 21)	-19988	V3C99_008593	V3C99_008593	gnl|V3C99|Hcon5G00000004219						protein_coding
11934	IV	1544127	1544127	+	0	NA	intron (V3C99_006640, intron 5 of 23)	mRNA-intron (V3C99_006640, intron 6 of 24)	1284	V3C99_006640	V3C99_006640	gnl|V3C99|Hcon5G00000002266						protein_coding
5064	II	21149201	21149201	+	0	NA	intron (V3C99_011895, intron 4 of 41)	mRNA-intron (V3C99_011895, intron 4 of 41)	24333	V3C99_011895	V3C99_011895	gnl|V3C99|Hcon5G00000014053						protein_coding
20822	IV	28684368	28684368	+	0	NA	intron (V3C99_008434, intron 3 of 5)	mRNA-intron (V3C99_008434, intron 3 of 5)	9016	V3C99_008434	V3C99_008434	gnl|V3C99|Hcon5G00000004060						protein_coding
22637	I	18600710	18600710	+	0	NA	exon (V3C99_004537, exon 31 of 34)	mRNA-exon (V3C99_004537, exon 31 of 34)	-16356	V3C99_004538	V3C99_004538	gnl|V3C99|Hcon5G00000007495						protein_coding
10346	I	11630887	11630887	+	0	NA	Intergenic	Intergenic	18231	V3C99_004017	V3C99_004017	gnl|V3C99|Hcon5G00000006974						protein_coding
20283	IV	22799520	22799520	+	0	NA	intron (V3C99_008145, intron 27 of 33)	mRNA-intron (V3C99_008145, intron 27 of 33)	13767	V3C99_008145	V3C99_008145	gnl|V3C99|Hcon5G00000003771						protein_coding
12679	II	11759485	11759485	+	0	NA	promoter-TSS (V3C99_011244)	mRNA-promoter-TSS (V3C99_011244)	-2093	V3C99_011244	V3C99_011244	gnl|V3C99|Hcon5G00000013402						protein_coding
13826	II	27869485	27869485	+	0	NA	Intergenic	Intergenic	-7715	V3C99_012246	V3C99_012246	gnl|V3C99|Hcon5G00000014404						protein_coding
19271	III	4948314	4948314	+	0	NA	exon (V3C99_000306, exon 34 of 37)	mRNA-exon (V3C99_000306, exon 34 of 37)	23334	V3C99_000305	V3C99_000305	gnl|V3C99|Hcon5G00000009794						protein_coding
290	I	5615874	5615874	+	0	NA	Intergenic	Intergenic	-1077	V3C99_003586	V3C99_003586	gnl|V3C99|Hcon5G00000006543						protein_coding
22431	X	12377784	12377784	+	0	NA	intron (V3C99_017903, intron 2 of 8)	mRNA-intron (V3C99_017903, intron 2 of 8)	4627	V3C99_017903	V3C99_017903	gnl|V3C99|Hcon5G00000000827						protein_coding
5534	II	4259083	4259083	+	0	NA	TTS (V3C99_010671)	mRNA-TTS (V3C99_010671)	-3355	V3C99_010670	V3C99_010670	gnl|V3C99|Hcon5G00000012828						protein_coding
6496	III	36443470	36443470	+	0	NA	Intergenic	Intergenic	-3071	V3C99_002378	V3C99_002378	gnl|V3C99|Hcon5G00000011867						protein_coding
19560	II	46161820	46161820	+	0	NA	intron (V3C99_013564, intron 1 of 1)	mRNA-intron (V3C99_013564, intron 1 of 1)	1196	V3C99_013564	V3C99_013564	gnl|V3C99|Hcon5G00000015722						protein_coding
671	V	17010182	17010182	+	0	NA	intron (V3C99_014963, intron 1 of 28)	mRNA-intron (V3C99_014963, intron 1 of 28)	-3375	V3C99_014963	V3C99_014963	gnl|V3C99|Hcon5G00000017121						protein_coding
18360	II	33274897	33274897	+	0	NA	intron (V3C99_012561, intron 1 of 4)	mRNA-intron (V3C99_012561, intron 2 of 5)	1923	V3C99_012562	V3C99_012562	gnl|V3C99|Hcon5G00000014720						protein_coding
21805	II	25220621	25220621	+	0	NA	Intergenic	Intergenic	-9692	V3C99_012093	V3C99_012093	gnl|V3C99|Hcon5G00000014251						protein_coding
18413	V	29781538	29781538	+	0	NA	Intergenic	Intergenic	-12837	V3C99_015656	V3C99_015656	gnl|V3C99|Hcon5G00000017814						protein_coding
17141	I	4655251	4655251	+	0	NA	exon (V3C99_003516, exon 9 of 9)	mRNA-exon (V3C99_003516, exon 9 of 9)	6392	V3C99_003517	V3C99_003517	gnl|V3C99|Hcon5G00000006474						protein_coding
5909	I	5876962	5876962	+	0	NA	intron (V3C99_003603, intron 7 of 22)	mRNA-intron (V3C99_003603, intron 7 of 22)	14717	V3C99_003603	V3C99_003603	gnl|V3C99|Hcon5G00000006560						protein_coding
7452	X	27694144	27694144	+	0	NA	Intergenic	Intergenic	-2215	V3C99_018808	V3C99_018808	gnl|V3C99|Hcon5G00000001732						protein_coding
11926	III	5794154	5794154	+	0	NA	Intergenic	Intergenic	-7275	V3C99_000384	V3C99_000384	gnl|V3C99|Hcon5G00000009873						protein_coding
14184	I	9546774	9546774	+	0	NA	intron (V3C99_003851, intron 19 of 22)	mRNA-intron (V3C99_003851, intron 19 of 22)	-4424	V3C99_003850	V3C99_003850	gnl|V3C99|Hcon5G00000006807						protein_coding
10453	IV	53152637	53152637	+	0	NA	TTS (V3C99_010321)	mRNA-TTS (V3C99_010321)	6960	V3C99_010321	V3C99_010321	gnl|V3C99|Hcon5G00000005947						protein_coding
960	III	31462246	31462246	+	0	NA	intron (V3C99_002023, intron 7 of 15)	mRNA-intron (V3C99_002023, intron 7 of 15)	29666	V3C99_002022	V3C99_002022	gnl|V3C99|Hcon5G00000011511						protein_coding
8744	V	38598611	38598611	+	0	NA	Intergenic	Intergenic	-14615	V3C99_016303	V3C99_016303	gnl|V3C99|Hcon5G00000018461						protein_coding
15842	I	5756665	5756665	+	0	NA	exon (V3C99_003597, exon 6 of 100)	mRNA-exon (V3C99_003597, exon 6 of 100)	1975	V3C99_003597	V3C99_003597	gnl|V3C99|Hcon5G00000006554						protein_coding
19029	III	14912882	14912882	+	0	NA	Intergenic	Intergenic	3643	V3C99_000943	V3C99_000943	gnl|V3C99|Hcon5G00000010432						protein_coding
22163	I	45674267	45674267	+	0	NA	intron (V3C99_006371, intron 1 of 6)	mRNA-intron (V3C99_006371, intron 1 of 6)	-1556	V3C99_006371	V3C99_006371	gnl|V3C99|Hcon5G00000009328						protein_coding
13168	II	45101826	45101826	+	0	NA	exon (V3C99_013473, exon 4 of 6)	mRNA-exon (V3C99_013473, exon 4 of 6)	3539	V3C99_013473	V3C99_013473	gnl|V3C99|Hcon5G00000015631						protein_coding
3618	X	3703995	3703995	+	0	NA	promoter-TSS (V3C99_017317)	mRNA-promoter-TSS (V3C99_017317)	-175	V3C99_017317	V3C99_017317	gnl|V3C99|Hcon5G00000000241						protein_coding
3159	IV	53846066	53846066	+	0	NA	promoter-TSS (V3C99_010374)	mRNA-promoter-TSS (V3C99_010374)	-73	V3C99_010374	V3C99_010374	gnl|V3C99|Hcon5G00000006000						protein_coding
14987	II	43741822	43741822	+	0	NA	intron (V3C99_013385, intron 4 of 12)	mRNA-intron (V3C99_013385, intron 5 of 13)	13523	V3C99_013385	V3C99_013385	gnl|V3C99|Hcon5G00000015543						protein_coding
20626	III	28679320	28679320	+	0	NA	exon (V3C99_001832, exon 8 of 14)	mRNA-exon (V3C99_001832, exon 8 of 14)	1096	V3C99_001832	V3C99_001832	gnl|V3C99|Hcon5G00000011321						protein_coding
3431	III	31558511	31558511	+	0	NA	TTS (V3C99_002025)	mRNA-TTS (V3C99_002025)	624	V3C99_002025	V3C99_002025	gnl|V3C99|Hcon5G00000011514						protein_coding
1334	III	27884998	27884998	+	0	NA	intron (V3C99_001772, intron 2 of 25)	mRNA-intron (V3C99_001772, intron 2 of 25)	12311	V3C99_001772	V3C99_001772	gnl|V3C99|Hcon5G00000011261						protein_coding
11146	III	10167489	10167489	+	0	NA	exon (V3C99_000648, exon 30 of 36)	mRNA-exon (V3C99_000648, exon 30 of 36)	12207	V3C99_000649	V3C99_000649	gnl|V3C99|Hcon5G00000010138						protein_coding
1082	III	15377112	15377112	+	0	NA	Intergenic	Intergenic	-23669	V3C99_000973	V3C99_000973	gnl|V3C99|Hcon5G00000010462						protein_coding
12334	X	18899780	18899780	+	0	NA	Intergenic	Intergenic	3309	V3C99_018299	V3C99_018299	gnl|V3C99|Hcon5G00000001223						protein_coding
3973	X	20818749	20818749	+	0	NA	Intergenic	Intergenic	2931	V3C99_018391	V3C99_018391	gnl|V3C99|Hcon5G00000001315						protein_coding
6808	X	14566669	14566669	+	0	NA	Intergenic	Intergenic	-3754	V3C99_018037	V3C99_018037	gnl|V3C99|Hcon5G00000000961						protein_coding
5907	II	9996502	9996502	+	0	NA	TTS (V3C99_011129)	mRNA-TTS (V3C99_011129)	1221	V3C99_011129	V3C99_011129	gnl|V3C99|Hcon5G00000013287						protein_coding
1650	III	7029787	7029787	+	0	NA	intron (V3C99_000456, intron 1 of 12)	mRNA-intron (V3C99_000456, intron 1 of 12)	-2905	V3C99_000456	V3C99_000456	gnl|V3C99|Hcon5G00000009945						protein_coding
8622	X	9160639	9160639	+	0	NA	Intergenic	Intergenic	-2251	V3C99_017697	V3C99_017697	gnl|V3C99|Hcon5G00000000621						protein_coding
15637	V	5980966	5980966	+	0	NA	intron (V3C99_014201, intron 2 of 10)	mRNA-intron (V3C99_014201, intron 2 of 10)	1425	V3C99_014201	V3C99_014201	gnl|V3C99|Hcon5G00000016359						protein_coding
4656	V	23155335	23155335	+	0	NA	promoter-TSS (V3C99_015237)	mRNA-promoter-TSS (V3C99_015237)	-1003	V3C99_015237	V3C99_015237	gnl|V3C99|Hcon5G00000017395						protein_coding
12699	X	23756497	23756497	+	0	NA	exon (V3C99_018573, exon 1 of 1)	mRNA-exon (V3C99_018573, exon 1 of 1)	909	V3C99_018573	V3C99_018573	gnl|V3C99|Hcon5G00000001497						protein_coding
747	IV	15580577	15580577	+	0	NA	Intergenic	Intergenic	-16751	V3C99_007724	V3C99_007724	gnl|V3C99|Hcon5G00000003350						protein_coding
16314	X	20165968	20165968	+	0	NA	Intergenic	Intergenic	9096	V3C99_018349	V3C99_018349	gnl|V3C99|Hcon5G00000001273						protein_coding
19291	II	27849391	27849391	+	0	NA	intron (V3C99_012246, intron 6 of 8)	mRNA-intron (V3C99_012246, intron 6 of 8)	12379	V3C99_012246	V3C99_012246	gnl|V3C99|Hcon5G00000014404						protein_coding
15431	X	5510286	5510286	+	0	NA	intron (V3C99_017449, intron 7 of 13)	mRNA-intron (V3C99_017449, intron 7 of 13)	6435	V3C99_017449	V3C99_017449	gnl|V3C99|Hcon5G00000000373						protein_coding
5262	I	615461	615461	+	0	NA	intron (V3C99_003151, intron 4 of 16)	mRNA-intron (V3C99_003151, intron 4 of 18)	2123	V3C99_003151	V3C99_003151	gnl|V3C99|Hcon5G00000006108						protein_coding
22842	IV	45620404	45620404	+	0	NA	Intergenic	Intergenic	-2029	V3C99_009637	V3C99_009637	gnl|V3C99|Hcon5G00000005263						protein_coding
8513	X	31814435	31814435	+	0	NA	Intergenic	Intergenic	-16142	V3C99_019064	V3C99_019064	gnl|V3C99|Hcon5G00000001988						protein_coding
18067	IV	34038211	34038211	+	0	NA	exon (V3C99_008766, exon 3 of 6)	mRNA-exon (V3C99_008766, exon 3 of 6)	623	V3C99_008766	V3C99_008766	gnl|V3C99|Hcon5G00000004392						protein_coding
3157	X	4305371	4305371	+	0	NA	exon (V3C99_017357, exon 1 of 16)	mRNA-exon (V3C99_017357, exon 1 of 16)	-11082	V3C99_017356	V3C99_017356	gnl|V3C99|Hcon5G00000000280						protein_coding
9024	I	10828932	10828932	+	0	NA	promoter-TSS (V3C99_003965)	mRNA-promoter-TSS (V3C99_003965)	-879	V3C99_003965	V3C99_003965	gnl|V3C99|Hcon5G00000006922						protein_coding
9161	V	852895	852895	+	0	NA	Intergenic	Intergenic	-3533	V3C99_013785	V3C99_013785	gnl|V3C99|Hcon5G00000015943						protein_coding
17921	III	9332535	9332535	+	0	NA	Intergenic	Intergenic	-28110	V3C99_000592	V3C99_000592	gnl|V3C99|Hcon5G00000010081						protein_coding
15163	IV	47948312	47948312	+	0	NA	promoter-TSS (V3C99_009848)	mRNA-promoter-TSS (V3C99_009848)	41	V3C99_009848	V3C99_009848	gnl|V3C99|Hcon5G00000005474						protein_coding
2362	V	14178326	14178326	+	0	NA	intron (V3C99_014771, intron 10 of 15)	mRNA-intron (V3C99_014771, intron 13 of 18)	38401	V3C99_014771	V3C99_014771	gnl|V3C99|Hcon5G00000016929						protein_coding
641	IV	19303030	19303030	+	0	NA	Intergenic	Intergenic	-2017	V3C99_007945	V3C99_007945	gnl|V3C99|Hcon5G00000003571						protein_coding
14141	II	41406078	41406078	+	0	NA	intron (V3C99_013175, intron 1 of 20)	mRNA-intron (V3C99_013175, intron 1 of 20)	260	V3C99_013175	V3C99_013175	gnl|V3C99|Hcon5G00000015333						protein_coding
15051	III	21971610	21971610	+	0	NA	Intergenic	Intergenic	-7594	V3C99_001396	V3C99_001396	gnl|V3C99|Hcon5G00000010885						protein_coding
3967	IV	42849271	42849271	+	0	NA	promoter-TSS (V3C99_009418)	mRNA-promoter-TSS (V3C99_009418)	-2579	V3C99_009418	V3C99_009418	gnl|V3C99|Hcon5G00000005044						protein_coding
7752	IV	37106408	37106408	+	0	NA	Intergenic	Intergenic	1390	V3C99_008978	V3C99_008978	gnl|V3C99|Hcon5G00000004604						protein_coding
21893	III	9483337	9483337	+	0	NA	intron (V3C99_000598, intron 3 of 3)	mRNA-intron (V3C99_000598, intron 3 of 3)	-1385	V3C99_000599	V3C99_000599	gnl|V3C99|Hcon5G00000010088						protein_coding
6796	X	934660	934660	+	0	NA	Intergenic	Intergenic	-8019	V3C99_017117	V3C99_017117	gnl|V3C99|Hcon5G00000000041						protein_coding
15777	IV	49103173	49103173	+	0	NA	promoter-TSS (V3C99_009953)	mRNA-promoter-TSS (V3C99_009953)	28	V3C99_009953	V3C99_009953	gnl|V3C99|Hcon5G00000005579						protein_coding
9951	II	37213965	37213965	+	0	NA	promoter-TSS (V3C99_012796)	mRNA-promoter-TSS (V3C99_012796)	-68	V3C99_012796	V3C99_012796	gnl|V3C99|Hcon5G00000014954						protein_coding
22797	I	3163391	3163391	+	0	NA	intron (V3C99_003385, intron 1 of 3)	mRNA-intron (V3C99_003385, intron 1 of 3)	2223	V3C99_003385	V3C99_003385	gnl|V3C99|Hcon5G00000006342						protein_coding
1325	I	35482178	35482178	+	0	NA	exon (V3C99_005569, exon 11 of 18)	mRNA-exon (V3C99_005569, exon 11 of 18)	16843	V3C99_005569	V3C99_005569	gnl|V3C99|Hcon5G00000008526						protein_coding
9090	I	30464839	30464839	+	0	NA	Intergenic	Intergenic	-2343	V3C99_005269	V3C99_005269	gnl|V3C99|Hcon5G00000008226						protein_coding
9831	I	1926052	1926052	+	0	NA	promoter-TSS (V3C99_003261)	mRNA-promoter-TSS (V3C99_003261)	-527	V3C99_003261	V3C99_003261	gnl|V3C99|Hcon5G00000006218						protein_coding
9035	X	8578736	8578736	+	0	NA	intron (V3C99_017657, intron 4 of 23)	mRNA-intron (V3C99_017657, intron 4 of 23)	652	V3C99_017657	V3C99_017657	gnl|V3C99|Hcon5G00000000581						protein_coding
17987	I	479769	479769	+	0	NA	intron (V3C99_003146, intron 4 of 7)	mRNA-intron (V3C99_003146, intron 4 of 7)	2477	V3C99_003146	V3C99_003146	gnl|V3C99|Hcon5G00000006103						protein_coding
19740	I	34535908	34535908	+	0	NA	exon (V3C99_005498, exon 4 of 9)	mRNA-exon (V3C99_005498, exon 4 of 9)	6008	V3C99_005498	V3C99_005498	gnl|V3C99|Hcon5G00000008455						protein_coding
2253	IV	13076814	13076814	+	0	NA	intron (V3C99_007546, intron 1 of 5)	mRNA-intron (V3C99_007546, intron 1 of 5)	-1277	V3C99_007546	V3C99_007546	gnl|V3C99|Hcon5G00000003172						protein_coding
3202	II	21673226	21673226	+	0	NA	intron (V3C99_011918, intron 12 of 12)	mRNA-intron (V3C99_011918, intron 12 of 13)	3468	V3C99_011922	V3C99_011922	gnl|V3C99|Hcon5G00000014080						protein_coding
5248	V	31585822	31585822	+	0	NA	Intergenic	Intergenic	-3897	V3C99_015771	V3C99_015771	gnl|V3C99|Hcon5G00000017929						protein_coding
12998	V	43266819	43266819	+	0	NA	intron (V3C99_016598, intron 2 of 10)	mRNA-intron (V3C99_016598, intron 5 of 13)	2380	V3C99_016598	V3C99_016598	gnl|V3C99|Hcon5G00000018756						protein_coding
2348	III	10674119	10674119	+	0	NA	intron (V3C99_000680, intron 1 of 16)	mRNA-intron (V3C99_000680, intron 1 of 17)	-16801	V3C99_000680	V3C99_000680	gnl|V3C99|Hcon5G00000010169						protein_coding
8444	V	6359929	6359929	+	0	NA	intron (V3C99_014220, intron 4 of 20)	mRNA-intron (V3C99_014220, intron 5 of 21)	30543	V3C99_014221	V3C99_014221	gnl|V3C99|Hcon5G00000016379						protein_coding
5353	III	45165804	45165804	+	0	NA	Intergenic	Intergenic	8278	V3C99_003055	V3C99_003055	gnl|V3C99|Hcon5G00000012544						protein_coding
2651	X	18974218	18974218	+	0	NA	Intergenic	Intergenic	23088	V3C99_018302	V3C99_018302	gnl|V3C99|Hcon5G00000001226						protein_coding
17184	III	10594095	10594095	+	0	NA	exon (V3C99_000679, exon 1 of 2)	mRNA-exon (V3C99_000679, exon 1 of 2)	598	V3C99_000679	V3C99_000679	gnl|V3C99|Hcon5G00000010168						protein_coding
777	III	38325149	38325149	+	0	NA	Intergenic	Intergenic	9559	V3C99_002536	V3C99_002536	gnl|V3C99|Hcon5G00000012025						protein_coding
22777	IV	32427772	32427772	+	0	NA	Intergenic	Intergenic	-3488	V3C99_008661	V3C99_008661	gnl|V3C99|Hcon5G00000004287						protein_coding
5525	II	44429104	44429104	+	0	NA	intron (V3C99_013416, intron 1 of 52)	mRNA-intron (V3C99_013416, intron 1 of 52)	-6857	V3C99_013416	V3C99_013416	gnl|V3C99|Hcon5G00000015574						protein_coding
12739	I	34296502	34296502	+	0	NA	intron (V3C99_005483, intron 9 of 15)	mRNA-intron (V3C99_005483, intron 9 of 15)	4465	V3C99_005484	V3C99_005484	gnl|V3C99|Hcon5G00000008441						protein_coding
13915	III	32627611	32627611	+	0	NA	intron (V3C99_002102, intron 1 of 10)	mRNA-intron (V3C99_002102, intron 1 of 10)	-1191	V3C99_002102	V3C99_002102	gnl|V3C99|Hcon5G00000011591						protein_coding
22051	I	46036162	46036162	+	0	NA	exon (V3C99_006409, exon 8 of 17)	mRNA-exon (V3C99_006409, exon 8 of 17)	3530	V3C99_006409	V3C99_006409	gnl|V3C99|Hcon5G00000009366						protein_coding
21064	IV	16231620	16231620	+	0	NA	intron (V3C99_007763, intron 1 of 47)	mRNA-intron (V3C99_007763, intron 2 of 48)	3120	V3C99_007763	V3C99_007763	gnl|V3C99|Hcon5G00000003389						protein_coding
8610	IV	10215158	10215158	+	0	NA	Intergenic	Intergenic	-11530	V3C99_007320	V3C99_007320	gnl|V3C99|Hcon5G00000002946						protein_coding
3969	I	17237418	17237418	+	0	NA	TTS (V3C99_004423)	mRNA-TTS (V3C99_004423)	-3428	V3C99_004424	V3C99_004424	gnl|V3C99|Hcon5G00000007381						protein_coding
